cross_id,security,quantity_crossed,buyer_portfolio,seller_portfolio,buyer_original_quantity,seller_original_quantity
62de71ce-70ee-44d7-84f6-888c7cfcd8c5,MSFT US,600,P-36182,S-17147,600,-11400
9168f404-2ecf-4d12-b402-e4c777750e26,TSN US,1600,P-47227,S-17147,4000,-1600
75a77016-80cb-47c2-a72c-8edd048d2490,AAON US,400,P-36182,S-17147,1200,-400
989b2cf9-d26e-4bb5-9460-534531abbc83,SWKS US,1200,P-47227,S-17147,3000,-1200
dbbac5a7-c7fe-4d3d-8f7a-13b86e25da73,FAST US,4500,P-47227,S-17147,4500,-12400
56ed564c-9a31-499f-801b-9438022b9f1c,GILD US,1000,P-36182,S-17147,1000,-11800
689f73b8-fc7a-4196-bf35-06d9184fa4f6,HAS US,1400,P-36182,S-17147,1400,-4200
028a4e3a-07e6-4ae2-9d2f-f4e5cdfeb191,NNN US,5000,P-47227,S-17147,5000,-10400
bd1a4610-4b15-4dd8-bd5d-c554ef260a4a,USB US,16000,P-93050,S-17147,16000,-22600
18410023-fea8-40f5-9932-850daf002f3c,USB US,2200,P-36182,S-17147,2200,-22600
beaf7a4c-0c5d-4770-9859-d0ee5cb0430c,XRAY US,2200,P-47227,S-17147,15000,-2200
2415728e-3930-421f-a3e2-49651288ec97,IVZ US,4600,P-36182,S-17147,4600,-12200
767ea698-8db7-4734-9c2d-08688af12596,RCL US,1000,S-17147,P-47227,1400,-1000
fb806204-602a-4972-9c97-5e571f7029f4,BWA US,2400,P-36182,S-17147,2400,-8600
0eb8463d-6a61-4295-82f4-e7ba896a29c3,SUI US,2000,S-17147,P-47227,8400,-2000
378b3a7a-6a8a-4615-9cfd-d312deca2793,TSCO US,3500,P-47227,S-17147,3500,-15600
0928627c-7ffa-46df-946f-7a07856e099a,ALB US,400,S-17147,P-36182,400,-3400
6e9f006f-a4a2-40af-8465-20ef515fe959,LNG US,1000,S-17147,P-47227,1400,-1000
0567493b-8be5-449b-9d2d-02ff6476bb1e,COF US,3800,P-93050,S-17147,4000,-3800
0d68f604-8bcd-4bdb-90a8-be012cd2e742,COF US,200,P-93050,P-36182,4000,-1000
f16c8c1b-1614-4eae-b594-f2e87423e7f1,WAT US,200,S-17147,P-36182,200,-400
aea89a05-79f6-4b70-a173-b50e5edce563,POOL US,1000,S-17147,P-47227,2000,-1000
02a7cc2b-abce-442a-b896-fb190b1ea47f,HIG US,400,S-17147,P-47227,400,-2000
e4d05b22-652a-4fe2-a9de-d6ea994c0295,QGEN US,2400,P-47227,S-17147,4500,-2400
2bcd1df3-524a-4714-91cb-c5296be7481a,KKR US,5200,P-93050,S-17147,6000,-5200
cfac10bf-2275-4882-bd68-591ad74cbaa8,BXP US,3000,P-47227,S-17147,3000,-9200
a07dbaa0-a4fa-4f88-b291-b6eb992b998c,PLD US,7000,P-93050,S-17147,7000,-22400
a5953020-624e-4640-904c-07853752d097,RBA US,1000,P-36182,S-17147,1000,-3000
5d162905-03cf-4f33-bafc-acf68d0a99a9,NVDA US,7400,P-36182,S-17147,7400,-98200
eddb336f-13c9-431f-989d-c99ccd3af826,TREX US,1800,P-36182,S-17147,1800,-3200
221dc2a7-a94a-41b6-b61f-ae76f0a5b3ff,GS US,1000,P-93050,S-17147,1000,-11400
e14d2144-fc17-42fe-9eff-88c951b6e62c,GS US,200,P-36182,S-17147,200,-11400
5686dc63-49e6-4f92-94dc-4dad464196ab,MCO US,1600,P-93050,S-17147,2000,-1600
ea2a2a22-dcc1-4e62-85c5-b0db8809fc3f,MCO US,200,P-93050,P-36182,2000,-200
306db03f-b3d4-4295-8e0e-9ae501f19d6d,CNC US,2800,P-47227,S-17147,6500,-2800
e25a244b-c6e0-4410-96a2-6346cd050da6,ILMN US,3600,S-17147,P-36182,4400,-3600
44982261-cff8-4a87-afe5-aeec0aab1309,ILMN US,800,S-17147,P-47227,4400,-11000
96ee03e8-aa81-4ac5-a5a2-ab9bdd978879,AKAM US,400,P-47227,S-17147,3000,-400
a9f0ab1c-2827-4bfc-93c4-4db54fa4d392,NFLX US,200,P-36182,S-17147,200,-11000
bc7f6cca-efb1-4678-b549-c3cec68bba34,TPR US,1000,P-36182,S-17147,1000,-4400
0b024c7a-a193-4abb-a869-b9db851e5586,GPN US,1200,P-36182,S-17147,1200,-3200
ecfe9af8-f52e-4c55-979d-dd930b6aeda6,EW US,6800,P-93050,S-17147,10000,-6800
27f8457a-530d-40c9-863b-ee48338e1945,AXON US,500,S-17147,P-47227,800,-500
880bb035-8792-4f3a-aa5b-93eb24e39dde,ZBH US,1000,P-36182,S-17147,1000,-2200
02f1d999-b180-4dd0-a961-8f9280da172c,WTW US,1000,S-17147,P-47227,7600,-1000
